OBJECTID_1,Name,County,Address,City,ZIP,Source,Type,Subtype,PhotoURL,created_user,created_date,last_edited_user,last_edited_date,x,y
1,Acworth Intermediate School,Cobb,4220 Cantrell Road,Acworth,30101,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.65428171,34.05756667
2,Adamsville Elementary School,Fulton,286 WILSON MILL RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.51422486,33.75505101
3,Addison Elementary School,Cobb,3055 Ebenezer Rd,Marietta,30066,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.48989332,34.02408334
4,Amana Academy Charter School,Fulton,285 South Main Street,Alpharetta,30009,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.30136535,34.06803603
5,Anderson-Livsey Elementary School,Gwinnett,4521 CENTERVILLE HWY,SNELLVILLE,30039,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.04813769,33.775115
6,Arabia Mountain High School,Dekalb,6610 Brownsmill Road,Lithonia,30038,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.13116533,33.64582372
7,Arcado Elementary School,Gwinnett,5150 ARCADO RD SW,LILBURN,30047,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.14103916,33.87253433
8,BEECHER HILLS ELEMENTARY SCHOOL,Fulton,2257 BOLLING BROOK DR SW,ATLANTA,30311,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.4625107,33.73540059
9,BELLS FERRY ELEMENTARY SCHOOL,Cobb,2600 BELLS FERRY RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.54823611,34.01482
10,BELMONT HILLS ELEMENTARY SCHOOL,Cobb,605 GLENDALE PL SE,SMYRNA,30080,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.53524347,33.89105054
11,BETHUNE ELEMENTARY SCHOOL,Fulton,220 NORTHSIDE DR NW,ATLANTA,30314,Captain Planet Foundation_ Project Learning Garden,Garden,School,BethuneElementaryGarden.jpg,,,SDE,06/14/2016 15:58:19,-84.40324054,33.76048288
12,BIG SHANTY ELEMENTARY SCHOOL,Cobb,1575 BEN KING RD NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.59628624,34.02821499
13,BLACKWELL ELEMENTARY SCHOOL,Cobb,3470 CANTON RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.52762856,34.0362857
14,BOLTON ACADEMY,Fulton,2268 ADAMS DR NW,ATLANTA,30318,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.45495131,33.81749736
15,BRIAR VISTA ELEMENTARY SCHOOL,Dekalb,1131 BRIAR VISTA TER NE,ATLANTA,30324,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.33765986,33.81078678
16,BROCKETT ELEMENTARY SCHOOL,Dekalb,1855 Brockett Road,Tucker,30084,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.22324774,33.83708232
17,BURGESS-PETERSON ELEMENTARY SCHOOL,Fulton,2025 Jonesboro Road,Atlanta,30315,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37250237,33.69959348
18,CASCADE ELEMENTARY SCHOOL,Fulton,2326 VENETIAN DR SW,ATLANTA,30311,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.46537909,33.7179361
19,CEDAR GROVE MIDDLE SCHOOL,Dekalb,2300 WILDCAT RD,DECATUR,30034,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.29153104,33.68630398
20,CHALKER ELEMENTARY SCHOOL,Cobb,325 N BOOTH RD NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.55693164,34.046387
21,CHAMBLEE MIDDLE SCHOOL,Dekalb,3601 Sexton Woods Drive,Chamblee,30341,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.31182808,33.89710388
22,CHAMPION MIDDLE THEME SCHOOL,Dekalb,5265 MIMOSA DR,STONE MOUNTAIN,30083,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.17324314,33.80580306
23,CHARLES DREW CHARTER SCHOOL,Dekalb,301 E LAKE BLVD SE,ATLANTA,30317,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.31425219,33.74482371
24,CLARKDALE ELEMENTARY SCHOOL,Cobb,4455 WESLEY DR,AUSTELL,30106,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.65082638,33.84412479
25,COOPER MIDDLE SCHOOL,Cobb,4605 EWING RD,AUSTELL,30106,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.63648798,33.84096653
26,CORETTA SCOTT KING YOUNG WOMEN'S ACADEMY MIDDLE SC,Fulton,1190 Northwest Dr.,Atlanta,30318,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,07/14/2015 17:35:40,-84.47910123,33.78904363
27,Crawford W. Long Middle School,Fulton,3200 Latona Drive,Atlanta,30354,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.39488321,33.66777161
28,D. H. STANTON ELEMENTARY SCHOOL,Fulton,970 MARTIN ST SE,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.38308657,33.72795341
29,DEERWOOD ACADEMY SCHOOL,Fulton,3070 FAIRBURN RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.51429371,33.67118142
30,DOBBS ELEMENTARY SCHOOL,Fulton,2025 JONESBORO RD SE,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37250237,33.69959348
31,DRUID HILLS MIDDLE SCHOOL,Dekalb,3100 MOUNT OLIVE DR,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.27230543,33.81860846
32,DUNBAR ELEMENTARY SCHOOL,Fulton,500 Whitehall Terrace SW,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.40153361,33.74115725
33,FAIR OAKS ELEMENTARY SCHOOL,Cobb,407 BARBER RD SE,MARIETTA,30060,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.54251019,33.9164219
34,FICKETT ELEMENTARY SCHOOL,Fulton,3935 RUX RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.51416461,33.69664056
35,FORD ELEMENTARY SCHOOL,Cobb,1345 MARS HILL RD NW,ACWORTH,30101,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.71492292,33.98704354
36,GARDEN HILLS ELEMENTARY SCHOOL,Fulton,"285 Sheridan Drive, NE",Atlanta,30305,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.3787408,33.8317883
37,GARRISON MILL ELEMENTARY,Cobb,4111 WESLEY CHAPEL RD,MARIETTA,30062,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.43319469,34.04945326
38,George Alexander Towns Elementary,Fulton,760 Bolton Road,Atlanta,30331,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.50432386,33.77561728
39,GIDEONS ELEMENTARY SCHOOL,Fulton,897 WELCH ST SW,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.40512578,33.73060039
40,Hambrick Elementary School,Dekalb,1101 Hambrick Road,Stone Mountain,30083,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.20586869,33.81148087
41,HERITAGE ACADEMY ELEMENTARY,Fulton,3500 VILLA CIR SE,ATLANTA,30354,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37903375,33.65964358
42,HOLLY SPRINGS ELEMENTARY SCHOOL,Cherokee,1965 HICKORY RD,CANTON,30115,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.47389862,34.17135052
43,FINCH ELEMENTARY,Fulton,111 AVON AVENUE. S.W.,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.4244,33.72215
44,HOLT ELEMENTARY SCHOOL,Gwinnett,588 OLD SNELLVILLE HWY,LAWRENCEVILLE,30046,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.00042932,33.92785457
45,HOPE HILL ELEMENTARY SCHOOL,Fulton,112 BOULEVARD NE,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37226346,33.75747362
46,HUMPHRIES ELEMENTARY SCHOOL,Fulton,3029 HUMPHRIES DR SE,ATLANTA,30354,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37661499,33.67281729
47,HUTCHINSON ELEMENTARY SCHOOL,Fulton,650 CLEVELAND AVE SW,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.41020389,33.68116727
48,INTERNATIONAL COMMUNITY SCHOOL,Dekalb,2418 Wood Trail Lane,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.28953045,33.80193413
49,JOLLY ELEMENTARY SCHOOL,Dekalb,1070 OTELLO AVE,CLARKSTON,30021,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.22511176,33.81057114
50,KEHELEY ELEMENTARY SCHOOL,Cobb,1985 KEMP RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.49513242,34.06069571
51,KEMP ELEMENTARY SCHOOL,Cobb,865 CORNER RD,POWDER SPRINGS,30127,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.70169437,33.93221553
52,KENNESAW CHARTER SCHOOL,Cobb,1370 LOCKHART DR NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.59118294,34.02720753
53,KIMBERLY ELEMENTARY SCHOOL,Fulton,3090 McMurray Dr. SW,Atlanta,30311,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.48989833,33.70286475
54,KINCAID ELEMENTARY SCHOOL,Cobb,1410 Kincaid Road,Marietta,30066,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.51085585,34.00185053
55,KING MIDDLE SCHOOL,Fulton,545 HILL ST SE,ATLANTA,30312,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37906031,33.7388734
56,KING SPRINGS ELEMENTARY SCHOOL,Cobb,1041 REED RD SE,SMYRNA,30082,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.523521,33.85375062
57,KIPP STRIVE PRIMARY SCHOOL,Fulton,1448 LUCILE AVE SW,ATLANTA,30310,Captain Planet Foundation_ Project Learning Garden,Garden,School,KippStriveCommunityGarden.jpg,,,SDE,06/14/2016 15:50:16,-84.43513563,33.7423958
58,KNIGHT ELEMENTARY SCHOOL,Gwinnett,401 N. River Dr.,Lilburn,30047,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.1029959,33.88636699
59,LABELLE ELEMENTARY SCHOOL,Cobb,230 CRESSON DR SW,MARIETTA,30060,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.5541693,33.89613755
60,LAUREL RIDGE ELEMENTARY SCHOOL,Dekalb,1215 BALSAM DR,DECATUR,30033,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.2768548,33.81471085
61,M Agnes Jones Elementary,Fulton,1040 FAIR ST SW,ATLANTA,30314,Captain Planet Foundation_ Project Learning Garden,Garden,School,MAgnesJonesGarden.jpg,,,SDE,06/14/2016 15:54:39,-84.42209839,33.74891256
62,MABLETON ELEMENTARY SCHOOL,Cobb,5220 CHURCH ST SW,MABLETON,30126,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.58201157,33.82573587
63,Marbut Theme School,Dekalb,5776 Marbut Road,Lithonia,0,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.15362378,33.72946318
64,MINOR ELEMENTARY SCHOOL,Gwinnett,4129 SHADY DR NW,LILBURN,30047,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.12617759,33.91497879
65,MORNINGSIDE ELEMENTARY SCHOOL,Fulton,1053 E ROCK SPRINGS RD NE,ATLANTA,30306,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.35260791,33.79728646
66,MOUNT BETHEL ELEMENTARY SCHOOL,Cobb,1210 JOHNSON FERRY RD,MARIETTA,30068,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.41890598,33.97883516
67,LAWRENCEVILLE ELEMENTARY SCHOOL,Gwinnett,122 GWINNETT DR,LAWRENCEVILLE,30045,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-83.9953,33.94629
68,Mount Vernon Presbyterian School,Fulton,471 Mount Vernon Highway,Atlanta,30328,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.37165495,33.92467352
69,Mt Zion Elementary,Clayton,2984 Mt Zion RD,Jonesboro,30236,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.29204221,33.55461761
70,Mt Zion Primary School,Clayton,2984 Mt Zion Road,Jonesboro,30236,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.29204221,33.55461761
71,NICKAJACK ELEMENTARY SCHOOL,Cobb,4555 MAVELL RD SE,SMYRNA,30082,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.5175204,33.84197865
72,PARKSIDE ELEMENTARY SCHOOL,Fulton,685 Mercer St. SE,Atlanta,30312,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.36466103,33.7354847
73,Renaissance Middle School,Fulton,7155 Hall Road,Fairburn,30213,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.62242465,33.6149463
74,Ridgeview Charter School,Fulton,5340 S Trimble Rd,Atlanta,30342,Captain Planet Foundation_ Project Learning Garden,Garden,School,,,,SDE,01/30/2015 21:10:09,-84.35871119,33.90021219
